LIMIT_BAL,PAY_1,PAY_2,PAY_3,PAY_5,PAY_6,BILL_AMT1,PAY_AMT1,PAY_AMT2,PAY_AMT3,dpnm
-1.1367201460025875,2,2,-1,-2,-2,-0.6425010729208543,-0.34194161870789364,-0.22708563581165575,-0.296801274077391,1
-0.3659805002900601,-1,2,0,0,2,-0.6592187497098276,-0.34194161870789364,-0.21358765687093173,-0.2400046105077894,1
-0.5972023940038184,0,0,0,0,0,-0.2985596575207444,-0.25029157909097943,-0.1918867260980635,-0.2400046105077894,0
-0.9054982522888293,0,0,0,0,0,-0.05749102983507153,-0.22119057836940328,-0.1693611599558263,-0.2286452777938691,0
-0.9054982522888293,-1,0,-1,0,0,-0.5786180902926416,-0.22119057836940328,1.3350341649424902,0.2711653616186249,0
-0.9054982522888293,0,0,0,0,0,0.17894662483269733,-0.1910028182847807,-0.17821513971115652,-0.25948586611216273,0
2.562830153417544,0,0,0,0,0,4.301531153219903,2.9787119906005906,1.4790849434127893,1.8614719415674696,0
-0.5201284294325655,0,-1,-1,0,-1,-0.5343590255848726,-0.31899892104358046,-0.23090499962768057,-0.296801274077391,0
-0.2118325711475546,0,0,2,0,0,-0.5423851401115038,-0.14095151206447645,-0.2569895184166682,-0.2722651154153231,0
-1.1367201460025875,-2,-2,-2,-1,-1,-0.695641827815454,-0.34194161870789364,-0.2569895184166682,-0.296801274077391,0
0.25061121627996186,0,0,2,0,-1,-0.5452642201109047,-0.20271566919761427,-0.25646869607811934,-0.2939614408989109,0
0.7130550037074783,-1,-1,-1,-1,2,-0.5291305076614325,0.9753314803446974,0.17555343374814117,0.19068448934049947,0
3.5647916928438295,-1,0,-1,-1,-1,-0.5308144978497613,-0.28156609853864845,0.025122581630618684,0.07237703912501936,0
-0.7513503231463238,1,2,2,0,2,0.19798657841364,-0.14873995416630909,-0.2569895184166682,-0.1264112833685862,1
0.6359810391362256,0,0,0,0,0,0.2670437567011532,-0.16081505820015812,-0.12678393377945885,-0.1264112833685862,0
-0.9054982522888293,1,2,0,0,0,-0.008275058524560655,-0.34194161870789364,-0.1918867260980635,-0.23432494415082925,0
-1.1367201460025875,0,0,2,2,2,-0.48682704446269043,-0.14873995416630909,-0.2569895184166682,-0.2116062787229886,1
1.1754987911349948,0,0,0,-1,-1,2.744125420902553,0.2834280192051478,0.17702909704069622,4.016337357398154,0
1.4837946494200058,1,-2,-2,-2,-2,-0.695641827815454,-0.34194161870789364,-0.2569895184166682,-0.296801274077391,0
0.09646328713745637,1,-2,-2,-2,-2,-0.695641827815454,-0.34194161870789364,-0.2569895184166682,-0.296801274077391,0
-0.28890653571880737,0,0,0,0,-1,-0.1747184758484076,-0.16081505820015812,-0.19028085722087126,-0.2400046105077894,0
-0.3659805002900601,-1,-1,-1,-1,-1,-0.6913503689484227,-0.32286295433441214,-0.24327453016821546,-0.296801274077391,1
-0.7513503231463238,2,0,0,2,2,-0.13765711113914045,-0.22076794972821856,-0.10152405035984025,-0.296801274077391,1
2.17746033056128,-2,-2,-2,-2,-2,-0.6207857478310346,0.8310339871402014,-0.1930585763597984,-0.2649951424784141,1
-0.5972023940038184,0,0,0,0,0,-0.6312156225458448,0.005640250906450797,-0.2569895184166682,0.00978711587131841,0
-0.9054982522888293,0,0,0,0,0,-0.048935273233078745,-0.2228207174139729,-0.195098463852448,-0.2399478138442198,0
-0.8284242877175766,1,-2,-1,-1,-1,-0.6971221095132591,-0.34194161870789364,-0.21358765687093173,-0.296801274077391,1
-0.9054982522888293,0,0,0,0,0,-0.3895222888225661,-0.2634534424878749,-0.2005670984072108,-0.2400046105077894,0
-0.9054982522888293,-1,-1,-1,-1,-1,-0.686814459892763,-0.13575921732992138,-0.10851175006870381,-0.18070889374112534,0
-0.9054982522888293,0,0,0,0,0,-0.48746533106633116,-0.25137833845402585,-0.1918867260980635,-0.2400046105077894,0
0.4818331099937201,-1,-1,-1,-1,-1,-0.46957972559835576,0.7007436146149704,0.3194306047722575,0.5744027484167279,0
-0.9054982522888293,2,0,0,0,0,-0.2811901135620956,-0.23821647505713042,-0.1918867260980635,-0.2400046105077894,1
-0.5201284294325655,0,0,0,0,0,0.5678397138083567,-0.1594264212362655,-0.10460558252958753,-0.10925869097056654,0
2.562830153417544,-2,-2,-2,-2,-2,-0.5472198216199315,-0.09126245896518768,0.7337447750878575,0.13036643262958258,0
2.562830153417544,-2,-2,-2,-2,-2,-0.5094658480428841,-0.03970176474065232,1.0961937208563026,-0.11618788392605793,0
-0.05768464200504911,-1,-1,-2,-2,-1,-0.28462599676892764,-0.3340324255657225,-0.23980238124455655,-0.27430979530382876,0
0.8672029328499838,0,0,0,0,0,1.8371744793932132,0.14263230617046807,0.09282948564196752,0.06101770641109905,0
-0.8284242877175766,0,0,0,0,-1,-0.4911999867259312,-0.25137833845402585,-0.19110549259024026,-0.18076569040469495,0
-0.9054982522888293,1,-1,-1,-2,-2,-0.695641827815454,-0.2948487129758824,-0.2569895184166682,-0.296801274077391,1
0.8672029328499838,-1,-1,2,0,-1,-0.6888787059300693,0.20596622682800625,-0.2569895184166682,0.2698022416929545,0
